methode,threads,migration,temps_moyen
0,1,0,2.516739
0,1,1,2.587890
0,2,0,1.369927
0,2,1,1.362003
0,4,0,0.930763
0,4,1,0.921650
0,8,0,1.746431
0,8,1,1.735630
0,16,0,2.590512
0,16,1,2.553104
0,32,0,2.141962
0,32,1,2.134237
0,64,0,2.471208
0,64,1,2.417331
0,128,0,2.597874
0,128,1,2.582255
0,256,0,2.766132
0,256,1,2.581535
0,512,0,3.069401
0,512,1,2.997869
0,1024,0,3.020453
0,1024,1,3.118680
1,1,0,2.758826
1,1,1,2.822591
1,2,0,1.451401
1,2,1,1.400041
1,4,0,0.730963
1,4,1,0.725239
1,8,0,0.483768
1,8,1,0.464847
1,16,0,0.475269
1,16,1,0.459955
1,32,0,0.471140
1,32,1,0.471672
1,64,0,0.469251
1,64,1,0.465498
1,128,0,0.469154
1,128,1,0.441952
1,256,0,0.490660
1,256,1,0.486940
1,512,0,0.504635
1,512,1,0.478269
1,1024,0,0.577988
1,1024,1,0.583659
2,1,0,2.630280
2,1,1,2.621545
2,2,0,1.349563
2,2,1,1.351518
2,4,0,0.720545
2,4,1,0.716385
2,8,0,0.486935
2,8,1,0.497749
2,16,0,0.501277
2,16,1,0.495918
2,32,0,0.537550
2,32,1,0.532236
2,64,0,0.655651
2,64,1,0.504747
2,128,0,0.664614
2,128,1,0.496400
2,256,0,0.577310
2,256,1,0.495068
2,512,0,0.617934
2,512,1,0.547790
2,1024,0,0.708092
2,1024,1,0.629708
